uid,title,company,domain,p_rnd,topic_id,topic_prob
li-3943541530|postdoctoral scholar - department of chemistry,Postdoctoral Scholar - Department of Chemistry,Penn State University,bio,0.763321002324422,18,0.45483326425873244
li-4282134317|clinical laboratory technologist - microbiology,Clinical Laboratory Technologist - Microbiology,Labcorp,bio,0.947668453057607,-1,0.08199281785406014
in-30b7f06edadfe335|data scientist,Data Scientist,"Base-2 Solutions, LLC",bio,0.82152035832405,27,0.8132876377368603
in-4217adf83b9de6de|research associate ii,Research Associate II,Rutgers University,bio,0.982453485329945,50,1.0
in-1d1bbcca37235823|medical laboratory scientist - molecular - day shift,Medical Laboratory Scientist - Molecular - Day Shift,ChristianaCare,bio,0.9398601452509561,-1,0.002378119843012436
in-f9892d5f05426e25|qc analyst i,QC Analyst I,Piper Companies,bio,0.8979224363962801,3,0.10483033377008588
in-2885bbf99016c19b|viral pathogenesis lead scientist,Viral Pathogenesis Lead Scientist,Alaka`ina Foundation Family of Companies,bio,0.878769159317016,39,1.0
li-4303586450|research technician/ research assistant,Research Technician/ Research Assistant,Thomas Jefferson University,bio,0.9266166885693861,2,0.005582183804375926
in-919e7fb9aab134c3|research faculty (prep0003520),Research Faculty (PREP0003520),Johns Hopkins University,bio,0.9225201408068331,4,1.0
in-6edeb5d63601d9dc|oncology tr scientist intern,Oncology TR Scientist Intern,Johnson & Johnson,bio,0.9604109326998391,6,0.34485546758010377
go-9gAxhWtjqO0d1bxKAAAAAA==|postdoctoral scholar - biochemistry and molecular biology,Postdoctoral Scholar - Biochemistry and Molecular Biology,Penn State University,bio,0.9434589743614191,-1,0.10426464400548004
"li-4271328845|senior scientist, r&d","Senior Scientist, R&D",Kenvue,bio,0.9819155534108481,-1,0.02422657434445716
in-e0eef966a5aeb5b8|bioinformatics technician – center for advanced therapeutics,Bioinformatics Technician – Center for Advanced Therapeutics,The Wistar Institute,bio,0.8951805233955381,55,1.0
in-c2b38834e15e7a9f|principal biostatistics data scientist,Principal Biostatistics Data Scientist,CHARACTER BIO,bio,0.964870452880859,5,0.038773216574697185
